datetime,location,co2
2017-03-25 09:10:54,Georgetown,776
2017-03-25 09:10:55,Georgetown,787
2017-03-25 09:10:56,Georgetown,792
2017-03-25 09:10:57,Georgetown,787
2017-03-25 09:10:58,Georgetown,776
2017-03-25 09:10:59,Georgetown,774
2017-03-25 09:11:00,Georgetown,774
2017-03-25 09:11:01,Georgetown,774
2017-03-25 09:11:02,Georgetown,761
2017-03-25 09:11:03,Georgetown,766
2017-03-25 09:11:04,Georgetown,776
2017-03-25 09:11:05,Georgetown,782
2017-03-25 09:11:06,Georgetown,779
2017-03-25 09:11:07,Georgetown,774
2017-03-25 09:11:08,Georgetown,779
2017-03-25 09:11:09,Georgetown,776
2017-03-25 09:11:10,Georgetown,776
2017-03-25 09:11:11,Georgetown,782
2017-03-25 09:11:12,Georgetown,792
2017-03-25 09:11:13,Georgetown,789
2017-03-25 09:11:14,Georgetown,779
2017-03-25 09:11:15,Georgetown,768
2017-03-25 09:11:16,Georgetown,766
2017-03-25 09:11:17,Georgetown,774
2017-03-25 09:11:18,Georgetown,768
2017-03-25 09:11:19,Georgetown,761
2017-03-25 09:11:20,Georgetown,761
2017-03-25 09:11:21,Georgetown,768
2017-03-25 09:11:22,Georgetown,779
2017-03-25 09:11:23,Georgetown,782
2017-03-25 09:11:24,Georgetown,779
2017-03-25 09:11:25,Georgetown,795
2017-03-25 09:11:26,Georgetown,795
2017-03-25 09:11:27,Georgetown,792
2017-03-25 09:11:28,Georgetown,782
2017-03-25 09:11:29,Georgetown,776
2017-03-25 09:11:30,Georgetown,776
2017-03-25 09:11:31,Georgetown,784
2017-03-25 09:11:32,Georgetown,782
2017-03-25 09:11:33,Georgetown,784
2017-03-25 09:11:34,Georgetown,789
2017-03-25 09:11:35,Georgetown,789
2017-03-25 09:11:36,Georgetown,789
2017-03-25 09:11:37,Georgetown,782
2017-03-25 09:11:38,Georgetown,787
2017-03-25 09:11:39,Georgetown,782
2017-03-25 09:11:40,Georgetown,792
2017-03-25 09:11:41,Georgetown,792
2017-03-25 09:11:42,Georgetown,800
2017-03-25 09:11:43,Georgetown,808
2017-03-25 09:11:44,Georgetown,808
2017-03-25 09:11:45,Georgetown,813
2017-03-25 09:11:46,Georgetown,810
2017-03-25 09:11:47,Georgetown,805
2017-03-25 09:11:48,Georgetown,806
2017-03-25 09:11:49,Georgetown,798
2017-03-25 09:11:50,Georgetown,801
2017-03-25 09:11:51,Georgetown,804
2017-03-25 09:11:52,Georgetown,809
2017-03-25 09:11:53,Georgetown,809
2017-03-25 09:11:54,Georgetown,809
2017-03-25 09:11:55,Georgetown,798
2017-03-25 09:11:56,Georgetown,801
2017-03-25 09:11:57,Georgetown,811
2017-03-25 09:11:58,Georgetown,809
2017-03-25 09:11:59,Georgetown,804
2017-03-25 09:12:00,Georgetown,796
2017-03-25 09:12:01,Georgetown,788
2017-03-25 09:12:02,Georgetown,764
2017-03-25 09:12:03,Georgetown,759
2017-03-25 09:12:04,Georgetown,751
2017-03-25 09:12:05,Georgetown,751
2017-03-25 09:12:06,Georgetown,754
2017-03-25 09:12:07,Georgetown,756
2017-03-25 09:12:08,Georgetown,759
2017-03-25 09:12:09,Georgetown,769
2017-03-25 09:12:10,Georgetown,777
2017-03-25 09:12:11,Georgetown,772
2017-03-25 09:12:12,Georgetown,780
2017-03-25 09:12:13,Georgetown,775
2017-03-25 09:12:14,Georgetown,790
2017-03-25 09:12:15,Georgetown,793
2017-03-25 09:12:16,Georgetown,796
2017-03-25 09:12:17,Georgetown,796
2017-03-25 09:12:18,Georgetown,806
2017-03-25 09:12:19,Georgetown,809
2017-03-25 09:12:20,Georgetown,809
2017-03-25 09:12:21,Georgetown,804
2017-03-25 09:12:22,Georgetown,809
2017-03-25 09:12:23,Georgetown,814
2017-03-25 09:12:24,Georgetown,804
2017-03-25 09:12:25,Georgetown,809
2017-03-25 09:12:26,Georgetown,820
2017-03-25 09:12:27,Georgetown,825
2017-03-25 09:12:28,Georgetown,839
2017-03-25 09:12:29,Georgetown,839
2017-03-25 09:12:30,Georgetown,839
2017-03-25 09:12:31,Georgetown,834
2017-03-25 09:12:32,Georgetown,839
2017-03-25 09:12:33,Georgetown,837
2017-03-25 09:12:34,Georgetown,831
2017-03-25 09:12:35,Georgetown,828
2017-03-25 09:12:36,Georgetown,831
2017-03-25 09:12:37,Georgetown,834
2017-03-25 09:12:38,Georgetown,839
2017-03-25 09:12:39,Georgetown,842
2017-03-25 09:12:40,Georgetown,828
2017-03-25 09:12:41,Georgetown,834
2017-03-25 09:12:42,Georgetown,834
2017-03-25 09:12:43,Georgetown,837
2017-03-25 09:12:44,Georgetown,831
2017-03-25 09:12:45,Georgetown,831
2017-03-25 09:12:46,Georgetown,820
2017-03-25 09:12:47,Georgetown,809
2017-03-25 09:12:48,Georgetown,809
2017-03-25 09:12:49,Georgetown,809
2017-03-25 09:12:50,Georgetown,820
2017-03-25 09:12:51,Georgetown,817
2017-03-25 09:12:52,Georgetown,806
2017-03-25 09:12:53,Georgetown,806
2017-03-25 09:12:54,Georgetown,806
2017-03-25 09:12:55,Georgetown,817
2017-03-25 09:12:56,Georgetown,828
2017-03-25 09:12:57,Georgetown,820
2017-03-25 09:12:58,Georgetown,811
2017-03-25 09:12:59,Georgetown,814
2017-03-25 09:13:00,Georgetown,822
2017-03-25 09:13:01,Georgetown,820
2017-03-25 09:13:02,Georgetown,809
2017-03-25 09:13:03,Georgetown,811
2017-03-25 09:13:04,Georgetown,801
2017-03-25 09:13:05,Georgetown,801
2017-03-25 09:13:06,Georgetown,798
2017-03-25 09:13:07,Georgetown,798
2017-03-25 09:13:08,Georgetown,804
2017-03-25 09:13:09,Georgetown,801
2017-03-25 09:13:10,Georgetown,801
2017-03-25 09:13:11,Georgetown,806
2017-03-25 09:13:12,Georgetown,806
2017-03-25 09:13:13,Georgetown,809
2017-03-25 09:13:14,Georgetown,814
2017-03-25 09:13:15,Georgetown,801
2017-03-25 09:13:16,Georgetown,804
2017-03-25 09:13:17,Georgetown,804
2017-03-25 09:13:18,Georgetown,806
2017-03-25 09:13:19,Georgetown,798
2017-03-25 09:13:20,Georgetown,801
2017-03-25 09:13:21,Georgetown,806
2017-03-25 09:13:22,Georgetown,806
2017-03-25 09:13:23,Georgetown,809
2017-03-25 09:13:24,Georgetown,804
