datetime,location,count_operation,count_change,count_total
2017-03-25 16:02:33.035000,Georgetown,-,1,27
2017-03-25 16:02:47.894000,Georgetown,-,1,26
2017-03-25 16:03:24.242000,Georgetown,-,1,25
2017-03-25 16:03:36.285000,Georgetown,-,1,24
2017-03-25 16:04:00.602000,Georgetown,-,1,23
2017-03-25 16:04:32.110000,Georgetown,+,1,24
2017-03-25 16:04:42.615000,Georgetown,-,1,23
2017-03-25 16:04:53.992000,Georgetown,+,1,24
2017-03-25 16:05:08.587000,Georgetown,-,1,23
2017-03-25 16:05:10.018000,Georgetown,+,1,24
2017-03-25 16:05:51.678000,Georgetown,+,1,25
2017-03-25 16:06:23.068000,Georgetown,-,1,24
2017-03-25 16:06:59.662000,Georgetown,-,1,23
2017-03-25 16:07:04.404000,Georgetown,+,1,24
2017-03-25 16:11:17.555000,Georgetown,+,1,25
2017-03-25 16:11:28.721000,Georgetown,-,1,24
2017-03-25 16:11:52.226000,Georgetown,-,1,23
2017-03-25 16:13:29.975000,Georgetown,-,1,22
2017-03-25 16:13:31.243000,Georgetown,-,1,21
2017-03-25 16:13:51.681000,Georgetown,-,1,20
2017-03-25 16:15:23.875000,Georgetown,-,1,19
2017-03-25 16:15:25.052000,Georgetown,-,1,18
2017-03-25 16:15:49.514000,Georgetown,-,1,17
2017-03-25 16:17:36.957000,Georgetown,-,1,16
2017-03-25 16:17:38.390000,Georgetown,-,1,15
2017-03-25 16:18:38.594000,Georgetown,+,1,16
2017-03-25 16:18:40.765000,Georgetown,+,1,17
2017-03-25 16:19:38.807000,Georgetown,-,1,16
2017-03-25 16:19:39.486000,Georgetown,-,1,15
2017-03-25 16:19:40.085000,Georgetown,-,1,14
2017-03-25 16:32:00.619000,Georgetown,-,1,13
2017-03-25 16:35:14.861000,Georgetown,x,13,0
2017-04-01 09:06:01.080000,Georgetown,+,1,1
2017-04-01 09:06:01.746000,Georgetown,+,1,2
2017-04-01 09:06:02.387000,Georgetown,+,1,3
2017-04-01 09:06:02.916000,Georgetown,+,1,4
2017-04-01 09:06:03.583000,Georgetown,+,1,5
2017-04-01 09:06:04.095000,Georgetown,+,1,6
2017-04-01 09:06:04.633000,Georgetown,+,1,7
2017-04-01 09:06:05.201000,Georgetown,+,1,8
2017-04-01 09:06:05.884000,Georgetown,+,1,9
2017-04-01 09:06:06.511000,Georgetown,+,1,10
2017-04-01 09:06:07.025000,Georgetown,+,1,11
2017-04-01 09:06:07.562000,Georgetown,+,1,12
2017-04-01 09:06:08.210000,Georgetown,+,1,13
2017-04-01 09:06:08.745000,Georgetown,+,1,14
2017-04-01 09:06:09.272000,Georgetown,+,1,15
2017-04-01 09:06:09.856000,Georgetown,+,1,16
2017-04-01 09:06:10.399000,Georgetown,+,1,17
2017-04-01 09:06:10.903000,Georgetown,+,1,18
2017-04-01 09:06:11.406000,Georgetown,+,1,19
2017-04-01 09:06:12.002000,Georgetown,+,1,20
2017-04-01 09:06:12.503000,Georgetown,+,1,21
2017-04-01 09:06:13.056000,Georgetown,+,1,22
2017-04-01 09:06:13.598000,Georgetown,+,1,23
2017-04-01 09:06:14.183000,Georgetown,+,1,24
2017-04-01 09:06:14.858000,Georgetown,+,1,25
2017-04-01 09:06:15.344000,Georgetown,+,1,26
2017-04-01 09:06:15.991000,Georgetown,+,1,27
2017-04-01 09:06:16.536000,Georgetown,+,1,28
2017-04-01 09:06:17.118000,Georgetown,+,1,29
2017-04-01 09:06:17.906000,Georgetown,+,1,30
2017-04-01 09:06:22.859000,Georgetown,+,1,31
2017-04-01 09:25:42.220000,Georgetown,-,1,30
2017-04-01 09:28:56.341000,Georgetown,+,1,31
2017-04-01 09:52:14.997000,Georgetown,-,1,30
2017-04-01 09:58:38.185000,Georgetown,+,1,31
2017-04-01 10:01:28.876000,Georgetown,-,1,30
2017-04-01 10:01:31.340000,Georgetown,-,1,29
2017-04-01 10:01:38.123000,Georgetown,-,1,28
2017-04-01 10:01:40.917000,Georgetown,-,1,27
2017-04-01 10:01:43.617000,Georgetown,-,1,26
2017-04-01 10:01:45.178000,Georgetown,-,1,25
2017-04-01 10:01:46.947000,Georgetown,-,1,24
2017-04-01 10:01:52.841000,Georgetown,-,1,23
2017-04-01 10:01:54.436000,Georgetown,-,1,22
2017-04-01 10:01:55.676000,Georgetown,-,1,21
2017-04-01 10:01:58.953000,Georgetown,-,1,20
2017-04-01 10:02:05.001000,Georgetown,-,1,19
2017-04-01 10:02:31.160000,Georgetown,-,1,18
2017-04-01 10:02:45.620000,Georgetown,-,1,17
2017-04-01 10:03:00.632000,Georgetown,-,1,16
2017-04-01 10:04:21.313000,Georgetown,+,1,17
2017-04-01 10:04:35.254000,Georgetown,+,1,18
2017-04-01 10:04:36.470000,Georgetown,-,1,17
2017-04-01 10:04:37.742000,Georgetown,-,1,16
2017-04-01 10:04:51.892000,Georgetown,-,1,15
2017-04-01 10:04:55.004000,Georgetown,-,1,14
2017-04-01 10:05:03.137000,Georgetown,-,1,13
2017-04-01 10:05:04.092000,Georgetown,+,1,14
2017-04-01 10:05:35.984000,Georgetown,+,1,15
2017-04-01 10:05:40.305000,Georgetown,-,1,14
2017-04-01 10:05:42.127000,Georgetown,+,1,15
2017-04-01 10:05:43.318000,Georgetown,+,1,16
2017-04-01 10:06:00.364000,Georgetown,+,1,17
2017-04-01 10:06:02.460000,Georgetown,+,1,18
2017-04-01 10:06:03.300000,Georgetown,+,1,19
2017-04-01 10:06:24.423000,Georgetown,+,1,20
2017-04-01 10:06:41.872000,Georgetown,+,1,21
2017-04-01 10:06:54.317000,Georgetown,+,1,22
2017-04-01 10:06:56.101000,Georgetown,+,1,23
2017-04-01 10:06:57.440000,Georgetown,-,1,22
2017-04-01 10:07:25.962000,Georgetown,+,1,23
2017-04-01 10:09:09.109000,Georgetown,+,1,24
2017-04-01 10:09:10.413000,Georgetown,+,1,25
2017-04-01 10:09:10.691000,Georgetown,+,1,26
2017-04-01 10:09:30.781000,Georgetown,+,1,27
2017-04-01 10:09:31.100000,Georgetown,+,1,28
2017-04-01 10:10:12.622000,Georgetown,-,1,27
2017-04-01 10:10:36.429000,Georgetown,+,1,28
2017-04-01 10:10:37.316000,Georgetown,+,1,29
2017-04-01 10:10:44.873000,Georgetown,+,1,30
2017-04-01 10:12:57.714000,Georgetown,+,1,31
2017-04-01 10:12:59.084000,Georgetown,-,1,30
2017-04-01 10:17:51.436000,Georgetown,+,1,31
2017-04-01 10:55:39.763000,Georgetown,-,1,30
2017-04-01 10:58:40.664000,Georgetown,+,1,31
2017-04-01 11:02:42.166000,Georgetown,-,1,30
2017-04-01 11:02:43.937000,Georgetown,-,1,29
2017-04-01 11:02:44.551000,Georgetown,-,1,28
